Season,Episode,Length
1,1,61
1,2,55
1,3,57
1,4,55
1,5,54
1,6,52
1,7,57
1,8,58
1,9,56
1,10,52
2,1,53
2,2,54
2,3,53
2,4,51
2,5,55
2,6,54
2,7,56
2,8,54
2,9,55
2,10,64
3,1,55
3,2,57
3,3,53
3,4,54
3,5,58
3,6,53
3,7,57
3,8,56
3,9,50
3,10,62
4,1,58
4,2,52
4,3,57
4,4,55
4,5,53
4,6,50
4,7,51
4,8,52
4,9,50
4,10,65
5,1,52
5,2,55
5,3,60
5,4,50
5,5,57
5,6,54
5,7,59
5,8,60
5,9,53
5,10,61
6,1,50
6,2,54
6,3,53
6,4,59
6,5,57
6,6,52
6,7,50
6,8,59
6,9,60
6,10,69
7,1,59
7,2,59
7,3,63
7,4,50